"ReefCluster","UniqueSite","Larger","Site_Lat","Site_Long","Protection","DepthCategory","CleanHabitat","CensusMethod","Total_sampling_area","Regional_population_growth","Ocean_prod","HDI","Larger_pop_size","Reef_fish_landings_per_km2","NTZarea","Geographic_Basin","Local","Atoll","Trait_diversity","Scraping_potential","MPAage","site_meanSST_anom_C","Voice_accountability","Number.of.transects","gravNP2_cluster","nearpop","neartt","gravNC2_cluster","tt_NM","pop_NM","PA_toppredators","TotalBiomass_kgha"
"RC_1",7,"Indonesia",-8.36794,116.09782,"Fished","0-4m","Crest","Standard belt transect",750,11.40116227,0.284,0.662,240676485,10.2749352941321,0,"Central Indo-Pacific","Indonesia",0,2.59087546047123,12.49623421,0,0.811776479085286,-0.09,3,15.54014874,15.54014874,1,164.82481,43.97056275,318674,0,20.37535355
"RC_10",103,"Indonesia",2.70468,95.75529,"Fished","0-4m","Crest","Standard belt transect",750,9.82224785,0.17,0.662,240676485,10.2749352941321,0,"Western Indo-Pacific","Indonesia",0,1.94189578064923,18.63334048,0,0.372550805409749,-0.09,3,156.2361145,624.944458,2,3.210917661,738.4564569,1750971,0,236.3060111
"RC_10",392,"Indonesia",2.70743,95.74817,"Fished","0-4m","Slope","Standard belt transect",750,9.82224785,0.17,0.662,240676485,10.2749352941321,0,"Western Indo-Pacific","Indonesia",0,2.10638509862562,99.96306013,0,0.372550805409749,-0.09,3,156.2361145,624.944458,2,3.210917661,738.4564569,1750971,0,250.4950168
"RC_100",674,"Oman",16.95395,54.76315,"Fished","4-10m","Flat","Standard belt transect",1200,28.59765456,1.893,0.797,2802768,20.7739416228926,0,"Western Indo-Pacific","Oman",0,1.80519924739232,0,0,0.480478445688883,-1.03,8,0.163567879,295.0353394,42.47056198,0.106720476208502,1555.2386691,258132,0,68.18457607
"RC_101",675,"Papua New Guinea",-4.6441,146.0701,"Fished","0-4m","Slope","Standard belt transect",900,19.7044631,0.227,0.494,6858945,1.62184685201074,0,"Central Indo-Pacific","Papua New Guinea",0,2.24345864673237,48.8876771,0,0.707126140594482,0,6,63.854702,63.854702,1,1.78952761,123.7817459,27419,0,26.85108801
"RC_101",676,"Papua New Guinea",-4.6441,146.0701,"Fished","4-10m","Slope","Standard belt transect",900,19.7044631,0.227,0.494,6858945,1.62184685201074,0,"Central Indo-Pacific","Papua New Guinea",0,3.0398496558841,77.90803442,0,0.707126140594482,0,6,63.854702,63.854702,1,1.78952761,123.7817459,27419,0,349.4105404
"RC_101",677,"Papua New Guinea",-4.64135,146.0672,"Fished","0-4m","Slope","Standard belt transect",1250,19.7044631,0.227,0.494,6858945,1.62184685201074,0,"Central Indo-Pacific","Papua New Guinea",0,2.05881917292928,110.7228092,0,0.707126140594482,0,5,63.854702,63.854702,1,1.78952761,123.7817459,27419,0,166.354291
"RC_101",678,"Papua New Guinea",-4.64135,146.0672,"Fished","4-10m","Slope","Standard belt transect",1250,19.7044631,0.227,0.494,6858945,1.62184685201074,0,"Central Indo-Pacific","Papua New Guinea",0,3.62954334898525,135.2471999,0,0.707126140594482,0,5,63.854702,63.854702,1,1.78952761,123.7817459,27419,1,1779.694689
"RC_101",681,"Papua New Guinea",-4.6441,146.0701,"Restricted","0-4m","Slope","Standard belt transect",1250,19.7044631,0.227,0.494,6858945,1.62184685201074,0,"Central Indo-Pacific","Papua New Guinea",0,2.79066102579619,226.7182445,0,0.707126140594482,0,5,63.854702,63.854702,1,1.78952761,123.7817459,27419,0,423.8009853
"RC_101",682,"Papua New Guinea",-4.6441,146.0701,"Restricted","4-10m","Slope","Standard belt transect",1250,19.7044631,0.227,0.494,6858945,1.62184685201074,0,"Central Indo-Pacific","Papua New Guinea",0,2.40860457919051,219.5536254,0,0.707126140594482,0,5,63.854702,63.854702,1,1.78952761,123.7817459,27419,1,1212.005907
